,Time Difference,user.screen_name
5274,0 days 00:18:01.000000000,rxvu76
5286,0 days 00:18:06.000000000,ChrisCurlis
5290,0 days 00:18:07.000000000,ninelyfe_boii
5291,0 days 00:18:07.000000000,JMTR_Official
5296,0 days 00:18:09.000000000,FadeelaAlshaikh
5299,0 days 00:18:09.000000000,senthil622
5300,0 days 00:18:10.000000000,bgarand
5324,0 days 00:18:22.000000000,obama_jama
5349,0 days 00:18:30.000000000,segdan
5363,0 days 00:18:35.000000000,_andrempc
5372,0 days 00:18:39.000000000,Maheshrulzz
5374,0 days 00:18:40.000000000,angusburnett41
5378,0 days 00:18:41.000000000,petter33
5384,0 days 00:18:43.000000000,pspexarth
5388,0 days 00:18:44.000000000,sokkerger
5398,0 days 00:18:47.000000000,bp_cowboy
5409,0 days 00:18:50.000000000,KkonaKappa
5431,0 days 00:18:57.000000000,BalaniBalani
5452,0 days 00:19:06.000000000,Kveor
5485,0 days 00:19:15.000000000,Franc1sco_13
5490,0 days 00:19:19.000000000,BKrs11
5500,0 days 00:19:23.000000000,contests2016
5509,0 days 00:19:25.000000000,GuerreroDerek
5510,0 days 00:19:25.000000000,BalazsLorinc
5516,0 days 00:19:28.000000000,noumanmushtaq
5520,0 days 00:19:29.000000000,mchromes
5539,0 days 00:19:36.000000000,EldarMehic69
5551,0 days 00:19:41.000000000,imarlovic
5552,0 days 00:19:41.000000000,rd_iuli
5560,0 days 00:19:45.000000000,fromparad1se
5561,0 days 00:19:45.000000000,emdiddy
5564,0 days 00:19:46.000000000,DzhofromLTU
5577,0 days 00:19:50.000000000,McWuffles
5579,0 days 00:19:52.000000000,Bhoy92
5580,0 days 00:19:51.000000000,bobbosit
5589,0 days 00:19:55.000000000,jordanb99210615
5649,0 days 00:20:19.000000000,_SamSuace
5655,0 days 00:20:23.000000000,SatansBratan
5659,0 days 00:20:24.000000000,moritzsdl
5669,0 days 00:20:28.000000000,vibhujain99
5689,0 days 00:20:37.000000000,MrMoon753
5692,0 days 00:20:38.000000000,kioumaarstaeed
5694,0 days 00:20:38.000000000,b_sandeepvarma
5719,0 days 00:20:50.000000000,ChesterZZ
5745,0 days 00:21:01.000000000,zwoelfus
5749,0 days 00:21:03.000000000,Ale10Gal
5769,0 days 00:21:11.000000000,roelgonzales
5775,0 days 00:21:13.000000000,bilomar93
5776,0 days 00:21:13.000000000,Kriki666
5779,0 days 00:21:15.000000000,VicentiuApetrei
5784,0 days 00:21:18.000000000,ArmandtF
5793,0 days 00:21:22.000000000,hilal_qasabi
5795,0 days 00:21:23.000000000,addh_98
5797,0 days 00:21:24.000000000,hejfifa
5815,0 days 00:21:28.000000000,Mrspecktator
5816,0 days 00:21:28.000000000,_Flo_Tastisch
5818,0 days 00:21:29.000000000,WhirlingZebra
5824,0 days 00:21:32.000000000,KingKermitO
5832,0 days 00:21:35.000000000,chrisdawww
5851,0 days 00:21:44.000000000,TechGuy94
5854,0 days 00:21:44.000000000,adamfokken
5864,0 days 00:21:49.000000000,Storm60721
5872,0 days 00:21:55.000000000,TriggahPill101
5886,0 days 00:22:00.000000000,gosrani_dhruv
5891,0 days 00:22:03.000000000,JASONN0X
5894,0 days 00:22:03.000000000,alen_nj
5921,0 days 00:22:15.000000000,vnt1395
5927,0 days 00:22:16.000000000,sebaslopez_28
5931,0 days 00:22:16.000000000,SteelWill70
5941,0 days 00:22:20.000000000,Wolfhusky_
5967,0 days 00:22:31.000000000,Xlx_William_xlX
5970,0 days 00:22:31.000000000,Charswell
5972,0 days 00:22:32.000000000,ipranav47
5978,0 days 00:22:34.000000000,NagyVica2
6012,0 days 00:22:45.000000000,mohamadrashed15
6014,0 days 00:22:46.000000000,SinceriousMan
